공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
삼송근린3(세솔),근린공원,경기도 고양시 덕양구 세솔로1길 13-16,경기도 고양시 덕양구 삼송동 315,37.65190143,126.8892505,38688,게이트볼장+체력단련시설,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
삼송근린2(덕수),근린공원,,경기도 고양시 덕양구 동산동 381-2,37.64424741,126.8795367,113082,농구장+야외배드민턴장+인라인스케이트장+실내배드민턴장+체력단련시설,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
주교 2,어린이공원,경기도 고양시 덕양구 호국로790번길 42-9,경기도 고양시 덕양구 성사동 705번지,37.65496341,126.838164,1498,,조합놀이대 등,,,,1981-05-13,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
성사 2(별모래),어린이공원,경기도 고양시 덕양구 호국로716번길 13-14,경기도 고양시 덕양구 성사동 735번지,37.65152384,126.8332572,1499.2,,조합놀이대 등,화장실,,,1990-02-01,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
원당4,소공원,경기도 고양시 덕양구 원당로59번길 27,경기도 고양시 덕양구 주교동 598-1,37.65874727,126.832867,895,,,,,,2018-02-13,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
수변공원(고양2일단),수변공원,,경기도 고양시 덕양구 고양동 1-5,37.70743661,126.9033373,2516,,,,,,2013-02-26,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
고양,근린공원,경기도 고양시 덕양구 동헌로 440-4,경기도 고양시 덕양구 고양동 30번지,37.70591982,126.9006419,33344,다목적운동장+실내배드민턴장+체력단련시설,,,,,1977-01-27,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
고양제1,어린이공원,,경기도 고양시 덕양구 고양동 328,37.70462893,126.8968093,1734,,그네 등,,,,1988-04-06,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
소공원337,소공원,,경기도 고양시 덕양구 고양동 557,37.70885253,126.9050251,408,,,,,,2013-02-26,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
닥밭,어린이공원,,경기도 고양시 일산동구 정발산동 812,37.66629254,126.7754657,2326,,조합놀이대+그네+흔들놀이기구(흔들말+시소),화장실,,,1991-06-29,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
중산태미(중산4),근린공원,,경기도 고양시 일산동구 중산동 1553,37.69821033,126.7832034,13411,체력단련시설,,,,,1991-05-31,경기도 고양시 푸른도시사업소,031-8075-4330,2020-05-15
중산 3(중산테미어린이),어린이공원,,경기도 고양시 일산동구 중산동 1555-1,37.69737652,126.7805753,1600,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말),,,,1991-05-31,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
중산 1(중산마루),어린이공원,,경기도 고양시 일산동구 중산동 1556-1,37.69493248,126.779291,1600,,조합놀이대+흔들놀이기구(흔들말+시소),,,,1991-05-31,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
중산체육공원,어린이공원,,경기도 고양시 일산동구 중산동 1566-1,37.68865199,126.7788781,1600,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말+시소),,,,1991-05-31,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
중산 6(중산더부골),어린이공원,,경기도 고양시 일산동구 중산동 1573-2,37.69151312,126.7815678,1600,,조합놀이대+그네+흔들놀이기구(흔들말+시소)+회전놀이기구,,,,1991-05-31,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
중산 5(중산안학),어린이공원,,경기도 고양시 일산동구 중산동 1574-1,37.68893675,126.7817682,1600,,조합놀이대+흔들놀이기구(흔들말+시소)+회전놀이기구,,,,1991-05-31,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
중산 7(중산어린이),어린이공원,,경기도 고양시 일산동구 중산동 1575-1,37.6929569,126.7827654,1600,,조합놀이대+그네+흔들놀이기구(흔들말),화장실,,,1991-05-31,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
중산 4(중산오름),어린이공원,,경기도 고양시 일산동구 중산동 1575-5,37.68784856,126.7828258,1600,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말),,,,1991-05-31,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
중산 9(중산추만),어린이공원,,경기도 고양시 일산동구 중산동 1685,37.67951849,126.7800731,1521,체력단련시설+운동장(농구대),조합놀이대+흔들놀이기구(흔들말),,,,2002-01-05,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
하늘자전거(일산2),어린이공원,,경기도 고양시 일산동구 중산동 1702,37.68051807,126.7846273,1500,체력단련시설,조합놀이대+흔들놀이기구(흔들말+시소),화장실,,,2002-01-05,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
하늘장미(일산2),수변공원,,경기도 고양시 일산동구 중산동 1712,37.68479831,126.7849888,77829,,,화장실,,,2002-01-05,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
소개울(일산2-1),근린공원,,경기도 고양시 일산동구 중산동 1716,37.68315619,126.7837126,50049,체력단련시설,,,,,2002-01-05,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
성아(일산2-2),근린공원,,경기도 고양시 일산동구 중산동 1798,37.67821107,126.789259,13595,축구장+체력단련시설,,,,,2002-01-05,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
성아,어린이공원,,경기도 고양시 일산동구 중산동 1803,37.67657517,126.7864298,1531,체력단련시설,조합놀이대+흔들놀이기구(흔들말+시소),,,,2002-01-05,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
하늘별무리(일산2),어린이공원,경기도 고양시 일산동구 약산길 28-4,경기도 고양시 일산동구 중산동 25-11번지,37.68131673,126.793015,6145,,,,,,2015-06-30,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
어린이공원(약산마을),소공원,경기도 고양시 일산동구 약산길 13,경기도 고양시 일산동구 중산동 25-130번지 성미연립,37.68015771,126.7917849,695,,,,,,2015-06-30,경기도 고양시 일산동구청,031-8075-6262,2020-05-15
가라산,근린공원,경기도 고양시 덕양구 화신로 148,경기도 고양시 덕양구 행신동 924번지,37.62518207,126.841994,42290,야외배드민턴장+체력단련시설,,,,,1992-12-28,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
단풍나무,어린이공원,경기도 고양시 덕양구 화신로 105,경기도 고양시 덕양구 행신동 953번지 햇빛마을23단지아파트,37.62270136,126.8384469,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
회화나무,어린이공원,경기도 고양시 덕양구 충장로 118-30,경기도 고양시 덕양구 행신동 983번지 샘터마을2단지아파트,37.62027602,126.8359194,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
원흥근린2(도래울의장대),근린공원,,경기도 고양시 덕양구 도내동 1078,37.62932677,126.8707026,13083,,,,,,2009-09-28,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
어린이공원1(고운),어린이공원,,경기도 고양시 덕양구 도내동 740,37.63630434,126.8743723,2037,,,,,,2009-09-28,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
어린이공원2(도담),어린이공원,,경기도 고양시 덕양구 도내동 1038,37.62974264,126.871982,2633,,,,,,2010-12-21,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
중모루,소공원,경기도 고양시 덕양구 흥도로132번길 38-8,경기도 고양시 덕양구 도내동 611번지,37.61919336,126.8630114,1140,,,,,,2013-07-30,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
방아골,소공원,,경기도 고양시 덕양구 도내동 797-3,37.62366232,126.857652,1284,,,,,,2013-07-30,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
원흥근린3(도래울의장대),근린공원,경기도 고양시 덕양구 의장로 45-1,경기도 고양시 덕양구 도내동 1101,37.62784737,126.8735354,29304,,,주차장+화장실,,,2009-09-28,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
동산1,어린이공원,,경기도 고양시 덕양구 동산동 188-19,37.64257544,126.8925014,3334,,,,,,2007-12-17,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
소공원3(중부대학교),소공원,경기도 고양시 덕양구 동헌로 297,경기도 고양시 덕양구 대자동 620번지,37.71166374,126.8878234,400,,,,,,2017-12-05,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
소공원7(중부대학교),소공원,경기도 고양시 덕양구 동헌로 319-25,경기도 고양시 덕양구 대자동 606번지,37.71139927,126.8901996,178,,,,,,2017-12-05,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
소공원10(중부대학교),소공원,경기도 고양시 덕양구 동헌로 337,경기도 고양시 덕양구 대자동 596-1번지,37.70976418,126.8913359,925,,,,,,2017-12-05,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
1호 문화공원,문화공원,경기도 고양시 덕양구 유산길 96,경기도 고양시 덕양구 내유동 769-5번지,37.73129325,126.8483937,5660,,,,,,2017-12-15,경기도 고양시 푸른도시사업소,031-8075-4340,2020-05-15
삼송소공원1,소공원,,경기도 고양시 덕양구 삼송동 128-5,37.65218549,126.889031,703,,,,,,2007-11-06,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
삼송어린이2(달걀부리),어린이공원,경기도 고양시 덕양구 삼원로3길 70,경기도 고양시 덕양구 삼송동 369번지,37.64195969,126.8762715,2159,,조합놀이대 등,화장실,,,2006-12-11,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
삼송3,어린이공원,경기도 고양시 덕양구 삼송로205번안길 88,경기도 고양시 덕양구 삼송동 64-38번지,37.65765454,126.8945305,5453,,,,,,2007-12-17,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
삼송소공원2,소공원,,경기도 고양시 덕양구 삼송동 303-11,37.65332913,126.8884173,1329,,,,,,2007-11-06,경기도 고양시 덕양구청,031-8075-5262,2020-05-15
근린공원(일산3지구),근린공원,,경기도 고양시 일산동구 중산동 284,37.67477064,126.7850182,20095,,,,,,2010-07-29,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
덕은1(덕은지구),소공원,경기도 고양시 일산동구 고양대로 864-10,경기도 고양시 일산동구 중산동 39-4번지,37.67946519,126.7906624,1007,,,,,,2015-06-30,경기도 고양시 일산동구청,031-8075-6262,2020-05-15
달맞이,근린공원,,경기도 고양시 일산동구 풍동 1228,37.67457585,126.8021803,37676,체력단련시설,,,,,2001-05-03,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
달맞이,어린이공원,,경기도 고양시 일산동구 풍동 1240-3,37.67332261,126.8016509,1501,체력단련시설,조합놀이대,,,,2000-10-18,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
식골,근린공원,경기도 고양시 일산동구 숲속마을로 108,경기도 고양시 일산동구 풍동 1257번지,37.67022046,126.7951722,51111,실내배드민턴장+게이트볼장+체력단련시설,,주차장+화장실,,,2001-05-03,경기도 고양시 푸른도시사업소,031-8075-4320,2020-05-15
식골,어린이공원,,경기도 고양시 일산동구 풍동 1259,37.67018161,126.7983723,5103,,조합놀이대+흔들놀이기구(흔들말)+회전놀이기구,,,,2000-10-18,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
느티나무(풍동),어린이공원,,경기도 고양시 일산동구 풍동 1262,37.67010435,126.8005941,2012,체력단련시설,조합놀이대+그네,,,,2000-10-18,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
이팝나무,어린이공원,,경기도 고양시 일산동구 풍동 1269,37.66782817,126.797268,2021,체력단련시설,조합놀이대+그네,화장실,,,2000-10-18,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
소나무(풍동),어린이공원,,경기도 고양시 일산동구 풍동 1299,37.66587888,126.8006283,1630,체력단련시설,조합놀이대,화장실,,,2000-10-18,경기도 고양시 일산동구청,031-8075-6265,2020-05-15
참나무(풍동),문화공원,,경기도 고양시 일산동구 풍동 184,37.66435224,126.8035678,4165,야외배드민턴장,,,,,2002-02-18,경기도 고양시 푸른도시사업소,031-8075-4330,2020-05-15
장항1(장항공동주택지구),근린공원,,경기도 고양시 일산동구 장항동 657-142,37.65124453,126.7481003,15737,,,,,,2016-12-28,경기도 고양시 푸른도시사업소,031-8075-4340,2020-05-15
장항4(장항공동주택지구),근린공원,경기도 고양시 일산동구 장대길 276,경기도 고양시 일산동구 장항동 658-14번지,37.64808184,126.7504917,84756,,,,,,2016-12-28,경기도 고양시 푸른도시사업소,031-8075-4340,2020-05-15
장항5(장항공동주택지구),근린공원,,경기도 고양시 일산동구 장항동 669-7,37.64904968,126.758272,10387,,,,,,2016-12-28,경기도 고양시 푸른도시사업소,031-8075-4340,2020-05-15
장항7,근린공원,,경기도 고양시 일산동구 장항동 533-54,37.64629505,126.7594028,36792,,,,,,2016-12-28,경기도 고양시 푸른도시사업소,031-8075-4340,2020-05-15
식사체육공원,체육공원,,경기도 고양시 일산동구 식사동 산135-1,37.68479608,126.815122,14685,,,,,,2017-01-24,경기도 고양시푸른도시사업소,031-8075-4341,2020-05-15
송포,근린공원,,경기도 고양시 일산서구 대화동 1495-1,37.67082215,126.7317682,8968,족구장+체력단련시설,조합놀이대 등 4종 5개,,,,2001-06-22,경기도 고양시 푸른도시사업소,031-8075-4340,2020-05-15
호미걸이,근린공원,,경기도 고양시 일산서구 대화동 1653-6,37.67207058,126.7339966,10111,체력단련시설,조합놀이대 등 3종 5개,,,,2001-06-22,경기도 고양시 푸른도시사업소,031-8075-4340,2020-05-15
고양피크닉시민공원,근린공원,경기도 고양시 일산서구 대화로 355,경기도 고양시 일산서구 대화동 2337번지,37.68536054,126.7486216,18125,게이트볼장+족구장+체력단련시설,조합놀이대 등 2종 3개,,,피크닉장,2013-03-15,경기도 고양시 푸른도시사업소,031-8075-4340,2020-05-15
고양생태,문화공원,,경기도 고양시 일산서구 대화동 2600-1,37.66849283,126.7416035,8750,,,,,,2009-06-26,경기도 고양시 푸른도시사업소,031-8075-4340,2020-05-15
문화공원1,문화공원,,경기도 고양시 일산서구 대화동 2600-2,37.66726511,126.744601,21264,,,,,,2009-06-26,경기도 고양시 푸른도시사업소,031-8075-4340,2020-05-15
문화공원2,문화공원,,경기도 고양시 일산서구 대화동 2718,37.66676647,126.743185,7524,,,,,,2009-10-31,경기도 고양시 푸른도시사업소,031-8075-4340,2020-05-15
덕이어린이4(한별),어린이공원,,경기도 고양시 일산서구 덕이동 374-12,37.69701508,126.7530462,2748,체력단련시설,조합놀이대+흔들놀이대,,,,2006-01-31,경기도 고양시 일산서구청,031-8075-7263,2020-05-15
덕이어린이3(잎새),어린이공원,,경기도 고양시 일산서구 덕이동 582-2,37.69780217,126.7503449,3059,체력단련시설,조합놀이대+흔들놀이대,,,,2006-01-31,경기도 고양시 일산서구청,031-8075-7263,2020-05-15
